Date,Open,High,Low,Close,Volume
16-Oct-2018,25414.2,25707.05,25351.8,25589.65,226063396.00
17-Oct-2018,25839.1,25915.35,25101.95,25188.6,182759960.00
19-Oct-2018,24966.5,25277.9,24922.65,25085.8,200900442.00
22-Oct-2018,25484.25,25504.75,25021.35,25078.6,172423369.00
23-Oct-2018,24786.9,25124.6,24784.9,24972.45,144911236.00
24-Oct-2018,25312.7,25356.9,24839.65,25064.2,176623910.00
25-Oct-2018,24841.5,24977.35,24696.85,24817.45,215033794.00
26-Oct-2018,24771.85,24771.95,24353.1,24421.05,219130974.00
29-Oct-2018,24647.95,25023.75,24404.55,24959.7,279844102.00
30-Oct-2018,24924.75,25121.5,24686.85,24807.75,257591034.00
31-Oct-2018,24823.8,25201.3,24528.35,25153.25,241789641.00
1-Nov-2018,25285.2,25401.6,25129.45,25323.65,216612149.00
2-Nov-2018,25545.35,25856.25,25499.15,25701.65,297782501.00
5-Nov-2018,25731.55,25788.2,25534.4,25732.2,188023500.00
6-Nov-2018,25747.4,25860.75,25558.35,25598,162090341.00
7-Nov-2018,25818.1,25824.4,25698.1,25737.5,18966564.00
9-Nov-2018,25742.55,25822.75,25598.75,25771,145005871.00
12-Nov-2018,25816.15,25907.2,25495.1,25539.75,115950746.00
13-Nov-2018,25422,25796.5,25384.55,25768.6,141869413.00
14-Nov-2018,25952.4,26045.05,25806.7,25930.15,194940269.00
15-Nov-2018,25946.2,26197.6,25728,26154.75,171790148.00
16-Nov-2018,26205.35,26332.75,26122.55,26245.55,235671044.00
19-Nov-2018,26364.6,26379.1,26204.35,26300.7,172343045.00
20-Nov-2018,26211.5,26259.4,26041.8,26113.35,189681759.00
21-Nov-2018,26105.45,26342.05,26060.55,26262.05,159319280.00
22-Nov-2018,26233.65,26323.95,25947.85,25999.45,153931487.00
26-Nov-2018,26096,26396.6,26025.05,26365.6,174542785.00
27-Nov-2018,26286.1,26491.25,26268.65,26443.1,176101916.00
28-Nov-2018,26489.65,26584.95,26419.65,26457.95,255358541.00
29-Nov-2018,26641.6,27003.75,26577.15,26939.6,472107464.00
30-Nov-2018,27009.3,27012.7,26764.9,26862.95,228852954.00
3-Dec-2018,27032.9,27037.1,26791.65,26857.55,205823981.00
4-Dec-2018,26809.5,26843.8,26644.75,26693.8,172608502.00
5-Dec-2018,26572.1,26627.35,26443.65,26519.6,144478743.00
6-Dec-2018,26339.1,26359.9,26149.45,26198.3,139141747.00
7-Dec-2018,26307.4,26659.7,26252.1,26594.3,185529990.00
10-Dec-2018,26073.65,26336.2,26072,26102.65,156932519.00
11-Dec-2018,25602.25,26227.9,25598.95,26163.4,264187458.00
12-Dec-2018,26286.25,26672.7,26214.75,26643.85,215679380.00
13-Dec-2018,26844.15,26951.45,26723.65,26816.35,236399763.00
14-Dec-2018,26810.85,26909,26732.7,26826,168458080.00
17-Dec-2018,26915.45,27051.4,26908.6,27015.8,118695599.00
18-Dec-2018,26917.3,27210.05,26840.8,27174.7,158144343.00
19-Dec-2018,27229.05,27364.35,27214.3,27298.4,215616915.00
20-Dec-2018,27128.65,27309.1,27084.5,27275.1,191698257.00
21-Dec-2018,27261.25,27369.1,26823.1,26869.65,177065617.00
24-Dec-2018,26877.05,26934.85,26676.95,26714.75,128003648.00
26-Dec-2018,26634,27029.15,26408.15,26986.8,148910853.00
27-Dec-2018,27200.65,27239.95,26845.1,26878.55,169903194.00
28-Dec-2018,27048.4,27213.45,27039.6,27125.25,109836090.00
31-Dec-2018,27267.8,27286.5,27105,27160.2,83813951.00
1-Jan-2019,27231.4,27430.55,27019.05,27392.4,116379065.00
2-Jan-2019,27297,27397.55,27077.6,27174.7,176599164.00
3-Jan-2019,27181.6,27206.2,26923.75,26959.85,151201387.00
4-Jan-2019,26999.7,27274.5,26926.1,27195,189451222.00
7-Jan-2019,27378.65,27477.8,27279.55,27304.55,161026470.00
