Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
21-Dec-2012,KOTAKBANK,EQ,662.05,658,661.3,647,648.25,649.55,652.01,383017,24972990580000.00,10260,185958,0.4855
24-Dec-2012,KOTAKBANK,EQ,649.55,653.4,654.35,641.95,644.55,646.65,647.21,320579,20748318010000.00,12985,148218,0.4623
26-Dec-2012,KOTAKBANK,EQ,646.65,646.1,653.6,640.1,647.55,648.9,649,444541,28850711755000.00,12385,234981,0.5286
27-Dec-2012,KOTAKBANK,EQ,648.9,650.6,654.5,647.45,649.8,649.8,650.22,909916,59164970400000.00,15576,689220,0.7575
28-Dec-2012,KOTAKBANK,EQ,649.8,651.95,656.1,646.75,650,650.95,651.04,354162,23057521000000.00,8501,218559,0.6171
31-Dec-2012,KOTAKBANK,EQ,650.95,649.15,653.55,646.5,650,650.05,650.05,618992,40237361115000.00,11596,449646,0.7264
1-Jan-2013,KOTAKBANK,EQ,650.05,652.95,656.9,648.75,649.25,649.95,650.54,666697,43371063355000.00,12466,478186,0.7172
2-Jan-2013,KOTAKBANK,EQ,649.95,654,664.5,652.2,657,656.9,657.42,1219290,80158057280000.00,36618,901184,0.7391
3-Jan-2013,KOTAKBANK,EQ,656.9,659.95,663.4,652.65,654,654.9,657.5,564955,37145691435000.00,14087,300428,0.5318
4-Jan-2013,KOTAKBANK,EQ,654.9,657.85,657.85,646.65,649.65,650.2,649.9,490939,31906278564999.90,11634,316522,0.6447
7-Jan-2013,KOTAKBANK,EQ,650.2,651.1,653.85,645.4,645.65,648.45,650.15,657874,42771942015000.00,16350,453904,0.69
8-Jan-2013,KOTAKBANK,EQ,648.45,647.45,654.85,643,652,652.75,647.72,605087,39192837105000.00,18422,400032,0.6611
9-Jan-2013,KOTAKBANK,EQ,652.75,650.35,656.15,647.5,650.55,649.1,653.08,782421,51098708545000.00,22499,582372,0.7443
10-Jan-2013,KOTAKBANK,EQ,649.1,653.1,661.7,649.35,652.9,653.85,655.38,750441,49182423120000.00,20909,492062,0.6557
11-Jan-2013,KOTAKBANK,EQ,653.85,653.25,658,627.9,629,630,639.68,578269,36990593410000.00,16540,290087,0.5016
14-Jan-2013,KOTAKBANK,EQ,630,631.95,633,622.9,631.1,628.55,626.38,777412,48695291645000.00,40525,538018,0.6921
15-Jan-2013,KOTAKBANK,EQ,628.55,628,636.5,617.45,631,629.65,627.19,1109001,69555700470000.00,18003,678775,0.6121
16-Jan-2013,KOTAKBANK,EQ,629.65,630.7,633,622.1,623,624.6,625.59,605601,37885530495000.00,11287,457139,0.7549
17-Jan-2013,KOTAKBANK,EQ,624.6,624,630,620.35,624.85,627.9,624.92,623305,38951640960000.00,25153,397756,0.6381
18-Jan-2013,KOTAKBANK,EQ,627.9,626.25,630.5,619.2,630,629.75,627.8,2379997,149417177830000.00,19964,2028729,0.8524
21-Jan-2013,KOTAKBANK,EQ,629.75,627.5,634.8,626.2,630.5,630.95,630.83,968996,61127345090000.00,7717,778207,0.8031
